Population,Year,Literate,Gender,Race,Age-Group,State
7496.0,2022,Yes,Male,Black,35-44,AP
17202.0,2022,Yes,Male,Black,35-44,TO
65310.0,2022,Yes,Male,Black,35-44,MA
30822.0,2022,Yes,Male,Black,35-44,PI
47729.0,2022,Yes,Male,Black,35-44,CE
24638.0,2022,Yes,Male,Black,35-44,RN
24326.0,2022,Yes,Male,Black,35-44,PB
71857.0,2022,Yes,Male,Black,35-44,PE
21614.0,2022,Yes,Male,Black,35-44,AL
22734.0,2022,Yes,Male,Black,35-44,SE
258000.0,2022,Yes,Male,Black,35-44,BA
213478.0,2022,Yes,Male,Black,35-44,MG
39800.0,2022,Yes,Male,Black,35-44,ES
208802.0,2022,Yes,Male,Black,35-44,RJ
338623.0,2022,Yes,Male,Black,35-44,SP
47158.0,2022,Yes,Male,Black,35-44,PR
32231.0,2022,Yes,Male,Black,35-44,SC
57677.0,2022,Yes,Male,Black,35-44,RS
17259.0,2022,Yes,Male,Black,35-44,MS
35745.0,2022,Yes,Male,Black,35-44,MT
64429.0,2022,Yes,Male,Black,35-44,GO
29496.0,2022,Yes,Male,Black,35-44,DF
10704.0,2022,Yes,Male,Black,45-54,RO
3980.0,2022,Yes,Male,Black,45-54,AC
14484.0,2022,Yes,Male,Black,45-54,AM
3307.0,2022,Yes,Male,Black,45-54,RR
49705.0,2022,Yes,Male,Black,45-54,PA
5539.0,2022,Yes,Male,Black,45-54,AP
12379.0,2022,Yes,Male,Black,45-54,TO
42910.0,2022,Yes,Male,Black,45-54,MA
21226.0,2022,Yes,Male,Black,45-54,PI
34764.0,2022,Yes,Male,Black,45-54,CE
18257.0,2022,Yes,Male,Black,45-54,RN
17197.0,2022,Yes,Male,Black,45-54,PB
55117.0,2022,Yes,Male,Black,45-54,PE
15997.0,2022,Yes,Male,Black,45-54,AL
16058.0,2022,Yes,Male,Black,45-54,SE
178240.0,2022,Yes,Male,Black,45-54,BA
165135.0,2022,Yes,Male,Black,45-54,MG
28882.0,2022,Yes,Male,Black,45-54,ES
166229.0,2022,Yes,Male,Black,45-54,RJ
252873.0,2022,Yes,Male,Black,45-54,SP
38834.0,2022,Yes,Male,Black,45-54,PR
19496.0,2022,Yes,Male,Black,45-54,SC
44272.0,2022,Yes,Male,Black,45-54,RS
13433.0,2022,Yes,Male,Black,45-54,MS
26050.0,2022,Yes,Male,Black,45-54,MT
46157.0,2022,Yes,Male,Black,45-54,GO
21998.0,2022,Yes,Male,Black,45-54,DF
7102.0,2022,Yes,Male,Black,55-64,RO
2313.0,2022,Yes,Male,Black,55-64,AC
8836.0,2022,Yes,Male,Black,55-64,AM
1884.0,2022,Yes,Male,Black,55-64,RR
30516.0,2022,Yes,Male,Black,55-64,PA
3142.0,2022,Yes,Male,Black,55-64,AP
7484.0,2022,Yes,Male,Black,55-64,TO
27816.0,2022,Yes,Male,Black,55-64,MA
13527.0,2022,Yes,Male,Black,55-64,PI
23085.0,2022,Yes,Male,Black,55-64,CE
12223.0,2022,Yes,Male,Black,55-64,RN
10927.0,2022,Yes,Male,Black,55-64,PB
35142.0,2022,Yes,Male,Black,55-64,PE
9724.0,2022,Yes,Male,Black,55-64,AL
10021.0,2022,Yes,Male,Black,55-64,SE
113430.0,2022,Yes,Male,Black,55-64,BA
118795.0,2022,Yes,Male,Black,55-64,MG
19946.0,2022,Yes,Male,Black,55-64,ES
125474.0,2022,Yes,Male,Black,55-64,RJ
168491.0,2022,Yes,Male,Black,55-64,SP
25939.0,2022,Yes,Male,Black,55-64,PR
11926.0,2022,Yes,Male,Black,55-64,SC
34258.0,2022,Yes,Male,Black,55-64,RS
8868.0,2022,Yes,Male,Black,55-64,MS
15574.0,2022,Yes,Male,Black,55-64,MT
27794.0,2022,Yes,Male,Black,55-64,GO
12817.0,2022,Yes,Male,Black,55-64,DF
123.0,2022,Yes,Male,Asian,15-19,RO
73.0,2022,Yes,Male,Asian,15-19,AC
191.0,2022,Yes,Male,Asian,15-19,AM
33.0,2022,Yes,Male,Asian,15-19,RR
434.0,2022,Yes,Male,Asian,15-19,PA
19.0,2022,Yes,Male,Asian,15-19,AP
110.0,2022,Yes,Male,Asian,15-19,TO
228.0,2022,Yes,Male,Asian,15-19,MA
83.0,2022,Yes,Male,Asian,15-19,PI
340.0,2022,Yes,Male,Asian,15-19,CE
156.0,2022,Yes,Male,Asian,15-19,RN
131.0,2022,Yes,Male,Asian,15-19,PB
380.0,2022,Yes,Male,Asian,15-19,PE
176.0,2022,Yes,Male,Asian,15-19,AL
90.0,2022,Yes,Male,Asian,15-19,SE
491.0,2022,Yes,Male,Asian,15-19,BA
819.0,2022,Yes,Male,Asian,15-19,MG
105.0,2022,Yes,Male,Asian,15-19,ES
507.0,2022,Yes,Male,Asian,15-19,RJ
10883.0,2022,Yes,Male,Asian,15-19,SP
2543.0,2022,Yes,Male,Asian,15-19,PR
331.0,2022,Yes,Male,Asian,15-19,SC
189.0,2022,Yes,Male,Asian,15-19,RS
537.0,2022,Yes,Male,Asian,15-19,MS
322.0,2022,Yes,Male,Asian,15-19,MT
487.0,2022,Yes,Male,Asian,15-19,GO
322.0,2022,Yes,Male,Asian,15-19,DF
147.0,2022,Yes,Male,Asian,20-24,RO
92.0,2022,Yes,Male,Asian,20-24,AC
190.0,2022,Yes,Male,Asian,20-24,AM
29.0,2022,Yes,Male,Asian,20-24,RR
415.0,2022,Yes,Male,Asian,20-24,PA
30.0,2022,Yes,Male,Asian,20-24,AP
106.0,2022,Yes,Male,Asian,20-24,TO
242.0,2022,Yes,Male,Asian,20-24,MA
115.0,2022,Yes,Male,Asian,20-24,PI
395.0,2022,Yes,Male,Asian,20-24,CE
160.0,2022,Yes,Male,Asian,20-24,RN
190.0,2022,Yes,Male,Asian,20-24,PB
483.0,2022,Yes,Male,Asian,20-24,PE
178.0,2022,Yes,Male,Asian,20-24,AL
84.0,2022,Yes,Male,Asian,20-24,SE
449.0,2022,Yes,Male,Asian,20-24,BA
1036.0,2022,Yes,Male,Asian,20-24,MG
124.0,2022,Yes,Male,Asian,20-24,ES
586.0,2022,Yes,Male,Asian,20-24,RJ
12214.0,2022,Yes,Male,Asian,20-24,SP
3103.0,2022,Yes,Male,Asian,20-24,PR
451.0,2022,Yes,Male,Asian,20-24,SC
258.0,2022,Yes,Male,Asian,20-24,RS
618.0,2022,Yes,Male,Asian,20-24,MS
323.0,2022,Yes,Male,Asian,20-24,MT
616.0,2022,Yes,Male,Asian,20-24,GO
377.0,2022,Yes,Male,Asian,20-24,DF
329.0,2022,Yes,Male,Asian,25-34,RO
124.0,2022,Yes,Male,Asian,25-34,AC
419.0,2022,Yes,Male,Asian,25-34,AM
67.0,2022,Yes,Male,Asian,25-34,RR
840.0,2022,Yes,Male,Asian,25-34,PA
60.0,2022,Yes,Male,Asian,25-34,AP
261.0,2022,Yes,Male,Asian,25-34,TO
484.0,2022,Yes,Male,Asian,25-34,MA
188.0,2022,Yes,Male,Asian,25-34,PI
810.0,2022,Yes,Male,Asian,25-34,CE
358.0,2022,Yes,Male,Asian,25-34,RN
327.0,2022,Yes,Male,Asian,25-34,PB
861.0,2022,Yes,Male,Asian,25-34,PE
355.0,2022,Yes,Male,Asian,25-34,AL
222.0,2022,Yes,Male,Asian,25-34,SE
913.0,2022,Yes,Male,Asian,25-34,BA
2253.0,2022,Yes,Male,Asian,25-34,MG
311.0,2022,Yes,Male,Asian,25-34,ES
1349.0,2022,Yes,Male,Asian,25-34,RJ
28576.0,2022,Yes,Male,Asian,25-34,SP
5859.0,2022,Yes,Male,Asian,25-34,PR
1124.0,2022,Yes,Male,Asian,25-34,SC
638.0,2022,Yes,Male,Asian,25-34,RS
1154.0,2022,Yes,Male,Asian,25-34,MS
741.0,2022,Yes,Male,Asian,25-34,MT
1271.0,2022,Yes,Male,Asian,25-34,GO
838.0,2022,Yes,Male,Asian,25-34,DF
326.0,2022,Yes,Male,Asian,35-44,RO
129.0,2022,Yes,Male,Asian,35-44,AC
479.0,2022,Yes,Male,Asian,35-44,AM
53.0,2022,Yes,Male,Asian,35-44,RR
849.0,2022,Yes,Male,Asian,35-44,PA
60.0,2022,Yes,Male,Asian,35-44,AP
216.0,2022,Yes,Male,Asian,35-44,TO
399.0,2022,Yes,Male,Asian,35-44,MA
165.0,2022,Yes,Male,Asian,35-44,PI
720.0,2022,Yes,Male,Asian,35-44,CE
314.0,2022,Yes,Male,Asian,35-44,RN
317.0,2022,Yes,Male,Asian,35-44,PB
789.0,2022,Yes,Male,Asian,35-44,PE
315.0,2022,Yes,Male,Asian,35-44,AL
212.0,2022,Yes,Male,Asian,35-44,SE
1040.0,2022,Yes,Male,Asian,35-44,BA
2494.0,2022,Yes,Male,Asian,35-44,MG
363.0,2022,Yes,Male,Asian,35-44,ES
1781.0,2022,Yes,Male,Asian,35-44,RJ
37894.0,2022,Yes,Male,Asian,35-44,SP
7353.0,2022,Yes,Male,Asian,35-44,PR
1313.0,2022,Yes,Male,Asian,35-44,SC
652.0,2022,Yes,Male,Asian,35-44,RS
1419.0,2022,Yes,Male,Asian,35-44,MS
901.0,2022,Yes,Male,Asian,35-44,MT
1252.0,2022,Yes,Male,Asian,35-44,GO
1086.0,2022,Yes,Male,Asian,35-44,DF
214.0,2022,Yes,Male,Asian,45-54,RO
55.0,2022,Yes,Male,Asian,45-54,AC
